"tID","uID","GM","RF","SVM","ELS"
"104","P27338","0","0","0","0"
"3","O76074","0","0","0","0"
"10980","P35968","0","0","0","0"
"100079","P07949","1","1","1","1"
"20137","Q13315","1","1","1","1"
"100193","Q99685","1","1","1","1"
"71","P14324","1","1","1","1"
"10044","P68400","1","1","1","1"
"11942","P00749","1","1","1","1"
"10197","P49841","0","0","0","0"
"126","P35354","0.42","0.42","0.42","0.42"
"12252","P56817","0","0","0","0"
"10216","Q05513","1","1","1","1"
"72","P14416","1","1","1","1"
"12694","P29597","1","1","1","1"
"103982","P51449","0","0","0","0"
"8","P00519","0","0","0","0"
"10531","O96017","1","1","1","1"
"11451","P08581","1","1","1","1"
"10003","P07339","1","1","1","1"
"10434","P12931","0","0","0","0"
"11639","P27361","1","1","1","1"
"12227","Q03181","1","1","1","1"
"11017","P49840","1","1","1","1"
"104483","O75874","1","1","1","1"
"100100","O43497","1","1","1","1"
"73","P14679","1","1","1","1"
"11359","Q08499","0","0","0","0"
"12000","P08709","0","0","0","0"
"11638","P28482","1","1","1","1"
"10711","P25098","0","0","0","0"
"10056","P78527","1","1","1","1"
"9","P00533","1","1","1","1"
"157","Q02127","1","1","1","1"
"11902","P04629","1","1","1","1"
"102439","O60341","0","0","0","0"
"10907","P53350","1","1","1","1"
"11365","P10635","0","0","0","0"
"30017","P51955","1","1","1","1"
"96","P23219","0","0","0","0"
"100097","Q06187","0","0","0","0"
"163","Q07869","1","1","1","1"
"23","P03952","0","0","0","0"
"165","Q12809","0","0","0","0"
"11362","P42336","0","0","0","0"
"12594","P05177","0","0","0","0"
"47","P08172","0","0","0","0"
"10108","O95749","1","1","1","1"
"10069","P49862","0","0","0","0"
"10695","P31751","1","1","1","1"
"235","P08246","0","0","0","0"
"55","P09917","0","0","0","0"
"10141","P00338","0","0","0","0"
"93","P22303","0","0","0","0"
"174","Q92731","0","0","0","0"
"10599","Q07343","0","0","0","0"
"12911","P11712","0","0","0","0"
"65","P11511","0","0","0","0"
"12576","P42338","0","0","0","0"
"6","P00374","0","0","0","0"
"105596","O43175","0","0","0","0"
"63","P11388","0","0","0","0"
"10009","O43613","0","0","0","0"
"10938","O60674","0","0","0","0"
"11242","Q05397","1","1","1","1"
"30025","Q13153","1","1","1","1"
"100010","Q9Y233","1","1","1","1"
"10781","Q96GD4","0","0","0","0"
"10193","P00915","1","1","1","1"
"10163","P10632","0","0","0","0"
"10140","P06239","0","0","0","0"
"155","Q01959","1","1","1","1"
"10919","P23458","1","1","1","1"
"12912","P33261","0","0","0","0"
"11678","P24941","0","0","0","0"
"252","P29274","0","0","0","0"
"100417","Q9UM73","1","1","1","1"
"194","P00742","0","0","0","0"
"129","P35372","1","1","1","1"
"11523","Q06124","1","1","1","1"
"10532","P06276","0","0","0","0"
"11939","P48736","0","0","0","0"
"10594","O00408","1","1","1","1"
"133","P37231","0","0","0","0"
"12090","Q13627","1","1","1","1"
"12","P00747","0.06","0.06","0.06","0.06"
"10188","Q16539","0","0","0","0"
"11910","Q13946","1","1","1","1"
"104197","Q8TEK3","1","1","1","1"
"170","Q14432","1","1","1","1"
"11727","P34913","1","1","1","1"
"12724","P51812","1","1","1","1"
"17045","P08684","0","0","0","0"
"11","P00734","0","0","0","0"
"10266","P11362","0","0","0","0"
"56","P10275","1","1","1","1"
"104017","Q9Y4P1","0","0","0","0"
"11213","P07900","1","1","1","1"
"10901","P41743","1","1","1","1"
"10849","P52333","0","0","0","0"
"12670","P36888","1","1","1","1"
"62","P11387","0","0","0","0"
"13005","P06870","1","1","1","1"
"69","P12821","1","1","1","1"
"100410","P30530","1","1","1","1"
"12584","Q9Y337","0","0","0","0"
"10635","P36544","1","1","1","1"
"20014","O14965","0","0","0","0"
"20085","P20813","0","0","0","0"
"10378","P07858","0","0","0","0"
"11968","P48147","0","0","0","0"
"86","P21397","0","0","0","0"
"11400","P42345","0","0","0","0"
"12261","P45983","0","0","0","0"
"76","P15538","1","1","1","1"
"100643","P14902","1","1","1","1"
"100126","P15056","0","0","0","0"
"20143","Q16853","1","1","1","1"
"103454","O60885","0","0","0","0"
"100","P23975","1","1","1","1"
"11480","Q14524","0","0","0","0"
"19","P03372","0","0","0","0"
"11177","O00329","1","1","1","1"
"20139","Q13535","1","1","1","1"
"121","P31645","0","0","0","0"
"4","O95180","1","1","1","1"